name,gb,monthly_price,contract_months,connection_fee,coupon,wechselbonus,total_price,effective_monthly_price,link
Superselect M Zusatzkarte,45,14.99,24,29.99,150,30,209.75,8.74,https://tarife.mediamarkt.de/tarife/pks/superselect-m-zusatzkarte
Superselect S Zusatzkarte,35,11.99,24,29.99,130,30,157.75,6.57,https://tarife.mediamarkt.de/tarife/pks/superselect-s-zusatzkarte
Superselect XS,6,3.99,24,29.99,30,0,95.75,3.99,https://tarife.mediamarkt.de/tarife/pks/superselect-xs
TM Magenta Mobil M Young 5G 24x30 ,100,19.95,24,39.99,0,50,468.79,19.53,https://tarife.mediamarkt.de/tarife/pks/tm-magenta-mobil-m-young-5g-24x30
Tm Allnet Flat 20Gb 24X20,20,9.99,24,39.99,0,50,229.75,9.57,https://tarife.mediamarkt.de/tarife/pks/tm-allnet-flat-20gb-24x20
TEF Allnet Flat 25GB (18€ LT) 10€ AP,25,6.99,24,9.99,0,0,177.75,7.41,https://tarife.mediamarkt.de/tarife/pks/tef-allnet-flat-25gb-18lt-ap-10eur
VF Allnet Flat 40GB (24x20),40,9.99,24,39.99,0,0,279.75,11.66,https://tarife.mediamarkt.de/tarife/pks/vf-allnet-flat-40gb-24x20
VF Allnet Flat 40GB 24x5 50MNP,40,24.99,24,39.99,0,50,589.75,24.57,https://tarife.mediamarkt.de/tarife/pks/vf-allnet-flat-40gb-24x5-50mnp
VF Allnet Flat 20GB (24x12) inkl. Weber Gasgrill,20,12.99,24,39.99,0,0,351.75,14.66,https://tarife.mediamarkt.de/tarife/pks/vf-allnet-flat-20gb-24x12-weber-gril
Doppelkarte: 2x TEF Allnet Flat 15GB (13€LT),15,13.98,24,39.99,0,0,375.51,15.65,https://tarife.mediamarkt.de/tarife/pks/2x-tef-15-gb-weber-gril
o2 Blue S inkl. Weber Gasgril,40,14.99,24,39.99,0,0,399.75,16.66,https://tarife.mediamarkt.de/tarife/pks/o2-blue-s-weber-gril
TEF Allnet Flat 15GB (7EUR LT),15,12.99,24,39.99,0,0,351.75,14.66,https://tarife.mediamarkt.de/tarife/pks/tef-allnet-flat-15gb-7lt
o2 Blue L,80,24.99,24,39.99,0,0,639.75,26.66,https://tarife.mediamarkt.de/tarife/pks/o2-blue-l
o2 Blue M,60,19.99,24,39.99,0,0,519.75,21.66,https://tarife.mediamarkt.de/tarife/pks/o2-blue-m
o2 Blue S,40,14.99,24,39.99,0,0,399.75,16.66,https://tarife.mediamarkt.de/tarife/pks/o2-blue-s
o2 Mobile Unlimited On Demand mit Smartphone 5 Spezial,0,39.99,24,39.99,0,0,999.75,41.66,https://tarife.mediamarkt.de/tarife/pks/o2-mobile-unlimited-on-demand-zp5-100mnp
o2 Mobile Unlimited on Demand 2025 Promo 100MNP,0,34.99,24,39.99,0,0,879.75,36.66,https://tarife.mediamarkt.de/tarife/pks/o2-mobile-unlimited-on-demand-2025-promo-100mnp
o2 Mobile L Special ,100,19.99,24,39.99,0,0,519.75,21.66,https://tarife.mediamarkt.de/tarife/pks/o2-mobile-l-special
Super Select XS Flex,8,7.99,1,0,0,0,7.99,7.99,https://tarife.mediamarkt.de/tarife/pks/superselect-xs-flex
o2 Mobile L Extra,100,29.99,24,39.99,0,0,759.75,31.66,https://tarife.mediamarkt.de/tarife/pks/o2-mobile-l-promo-2024-100-mnp
o2 Blue XS,20,9.99,24,39.99,0,0,279.75,11.66,https://tarife.mediamarkt.de/tarife/pks/o2-blue-xs
VF Allnet Flat Unlimited Advanced 100 24x35 ,100,29.99,24,39.99,0,50,709.75,29.57,https://tarife.mediamarkt.de/tarife/pks/vf-allnet-flat-unlimited-advanced-100-24x30
Superselect L Zusatzkarte,60,16.99,24,29.99,190,30,217.75,9.07,https://tarife.mediamarkt.de/tarife/pks/superselect-l-zusatzkarte
Superselect 60 Plus,10,5.99,24,29.99,50,0,123.75,5.16,https://tarife.mediamarkt.de/tarife/pks/superselect-60-plus
Superselect L,60,14.99,24,29.99,180,30,179.75,7.49,https://tarife.mediamarkt.de/tarife/pks/superselect-l
Superselect M,45,12.99,24,29.99,140,30,171.75,7.16,https://tarife.mediamarkt.de/tarife/pks/superselect-m
Superselect S,35,9.99,24,29.99,120,30,119.75,4.99,https://tarife.mediamarkt.de/tarife/pks/superselect-s
VF Allnet Flat 100GB 24x5 25LT ,100,14.99,24,39.99,0,0,399.75,16.66,https://tarife.mediamarkt.de/tarife/pks/vf-allnet-flat-100gb-24x5-25lt
o2 Mobile Unlimited Max ZP5 Aktion,0,44.99,24,39.99,0,0,1119.75,46.66,https://tarife.mediamarkt.de/tarife/pks/o2-mobile-unlimited-max-zp5-aktion
Magenta Mobil M Young (24x30)   300€ Coupon,100,19.95,24,39.99,0,50,468.79,19.53,https://tarife.mediamarkt.de/tarife/pks/magenta-mobil-m-young-24x30-300
VF Allnet Flat 100GB (24x15) 50MNP,100,29.99,24,39.99,0,50,709.75,29.57,https://tarife.mediamarkt.de/tarife/pks/vf-allnet-flat-100gb-24x15
TEF Allnet Flat 25GB (10€ LT),25,14.99,24,39.99,0,0,399.75,16.66,https://tarife.mediamarkt.de/tarife/pks/tef-allnet-falt-25gb
TEF Allnet Flat 15GB (13LT),15,6.99,24,39.99,0,0,207.75,8.66,https://tarife.mediamarkt.de/tarife/pks/tef-allnet-falt-15gb
Tef Alnnet Flat 10GB,10,4.99,24,39.99,0,0,159.75,6.66,https://tarife.mediamarkt.de/tarife/pks/tef-allnet-falt-10gb
VF Allnet Flat 20GB (24x15),20,9.99,24,39.99,0,0,279.75,11.66,https://tarife.mediamarkt.de/tarife/pks/vf-allnet-flat-20gb
TEF Allnet Flat 75 GB (7 EUR LT),75,29.99,24,39.99,0,0,759.75,31.66,https://tarife.mediamarkt.de/tarife/pks/tef-allnet-flat-75gb-7lt
TEF Allnet Flat 35GB 10LT,35,19.99,24,39.99,0,0,519.75,21.66,https://tarife.mediamarkt.de/tarife/pks/tef-allnet-flat-35gb-10lt
TM Allnet Flat 50GB 24x5,50,34.99,24,39.99,0,50,829.75,34.57,https://tarife.mediamarkt.de/tarife/pks/tm-allnet-flat-50gb-24x5
TM Allnet Flat 30GB 24x10,20,19.99,24,39.99,0,50,469.75,19.57,https://tarife.mediamarkt.de/tarife/pks/tm-allnet-flat-30gb-24x10
Go Mobile S,15,4.99,1,9.99,0,0,14.98,14.98,https://tarife.mediamarkt.de/tarife/pks/go-mobile-s
Go Mobile XL,75,14.99,1,9.99,0,0,24.98,24.98,https://tarife.mediamarkt.de/tarife/pks/go-mobile-xl
Go Mobile L,50,9.99,1,9.99,0,0,19.98,19.98,https://tarife.mediamarkt.de/tarife/pks/go-mobile-l
Go Mobile M,35,7.99,1,9.99,0,0,17.98,17.98,https://tarife.mediamarkt.de/tarife/pks/go-mobile-m
